"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тестирование полного флоу оформления заказа через НИЖНЮЮ кнопку ""Заказать"".
Тест параметризован двумя наборами данных.
","6707","Оформление заказа через нижнюю кнопку","tests","2025-12-27","failed","2025-12-27","TestOrder","test_order","",""
"
Тестирование полного флоу оформления заказа через НИЖНЮЮ кнопку ""Заказать"".
Тест параметризован двумя наборами данных.
","6644","Оформление заказа через нижнюю кнопку","tests","2025-12-27","failed","2025-12-27","TestOrder","test_order","",""
"","75","Проверка перехода на главную страницу по логотипу Самоката","tests","2025-12-27","passed","2025-12-27","TestFAQ","test_faq","",""
"Проверка раскрытия ответов при клике на вопросы","543","Проверка раздела 'Вопросы о важном'","tests","2025-12-27","passed","2025-12-27","TestFAQ","test_faq","",""
"Проверка раскрытия ответов при клике на вопросы","552","Проверка раздела 'Вопросы о важном'","tests","2025-12-27","passed","2025-12-27","TestFAQ","test_faq","",""
"Проверка полного флоу оформления заказа","24","Оформление заказа через разные кнопки","tests","2025-12-25","broken","2025-12-25","TestOrder","test_order","",""
"Тест заполнения формы заказа","1578","Заполнение формы заказа с данными: Марина","tests","2025-12-27","passed","2025-12-27","TestOrder","test_order","",""
"Проверка раскрытия ответов при клике на вопросы","331","Проверка раздела 'Вопросы о важном'","tests","2025-12-21","passed","2025-12-21","TestFAQ","test_faq","",""
"Тест оформления заказа через нижнюю кнопку","6643","Оформление заказа через нижнюю кнопку с разными данными","tests","2025-12-27","failed","2025-12-27","TestOrder","test_order","",""
"Проверка раскрытия ответов при клике на вопросы","533","Проверка раздела 'Вопросы о важном'","tests","2025-12-27","passed","2025-12-27","TestFAQ","test_faq","",""
"Тест проверки отображения модального окна подтверждения","1659","Проверка отображения модального окна подтверждения заказа","tests","2025-12-27","passed","2025-12-27","TestOrder","test_order","",""
"Проверка раскрытия ответов при клике на вопросы","334","Проверка раздела 'Вопросы о важном'","tests","2025-12-21","passed","2025-12-21","TestFAQ","test_faq","",""
"Проверка раскрытия ответов при клике на вопросы","540","Проверка раздела 'Вопросы о важном'","tests","2025-12-27","passed","2025-12-27","TestFAQ","test_faq","",""
"Тест проверки отображения модального окна отмены заказа","1607","Проверка отмены заказа","tests","2025-12-27","passed","2025-12-27","TestOrder","test_order","",""
"Проверка раскрытия ответов при клике на вопросы","333","Проверка раздела 'Вопросы о важном'","tests","2025-12-21","passed","2025-12-21","TestFAQ","test_faq","",""
"Проверка раскрытия ответов при клике на вопросы","576","Проверка раздела 'Вопросы о важном'","tests","2025-12-27","passed","2025-12-27","TestFAQ","test_faq","",""
"Проверка раскрытия ответов при клике на вопросы","326","Проверка раздела 'Вопросы о важном'","tests","2025-12-21","passed","2025-12-21","TestFAQ","test_faq","",""
"Проверка раскрытия ответов при клике на вопросы","547","Проверка раздела 'Вопросы о важном'","tests","2025-12-27","passed","2025-12-27","TestFAQ","test_faq","",""
"","0","test_fill_order_form[bottom-test_data1]","tests","2025-12-27","broken","2025-12-27","TestOrder","test_order","",""
"Тест оформления заказа через верхнюю кнопку","1","Оформление заказа через верхнюю кнопку с разными данными","tests","2025-12-27","broken","2025-12-27","TestOrder","test_order","",""
"","546","Проверка перехода на Дзен по логотипу Яндекса","tests","2025-12-27","passed","2025-12-27","TestFAQ","test_faq","",""
"Проверка полного флоу оформления заказа","1673","Оформление заказа через верхнюю кнопку","tests","2025-12-27","passed","2025-12-27","TestOrder","test_order","",""
"
Тестирование полного флоу оформления заказа через ВЕРХНЮЮ кнопку ""Заказать"".
Тест параметризован двумя наборами данных.
","1","Оформление заказа через верхнюю кнопку","tests","2025-12-27","broken","2025-12-27","TestOrder","test_order","",""
"Тест оформления заказа через верхнюю кнопку","0","Оформление заказа через верхнюю кнопку с разными данными","tests","2025-12-27","broken","2025-12-27","TestOrder","test_order","",""
"Проверка раскрытия ответов при клике на вопросы","332","Проверка раздела 'Вопросы о важном'","tests","2025-12-21","passed","2025-12-21","TestFAQ","test_faq","",""
"Проверка раскрытия ответов при клике на вопросы","544","Проверка раздела 'Вопросы о важном'","tests","2025-12-27","passed","2025-12-27","TestFAQ","test_faq","",""
"","1730","Отмена заказа в модальном окне подтверждения","tests","2025-12-27","passed","2025-12-27","TestOrder","test_order","",""
"Тест процесса отмены заказа","1677","Отмена заказа в модальном окне подтверждения","tests","2025-12-27","passed","2025-12-27","TestOrder","test_order","",""
"Тест заполнения формы заказа","1621","Заполнение формы заказа с данными: Вася","tests","2025-12-27","passed","2025-12-27","TestOrder","test_order","",""
"Проверка полного флоу оформления заказа","1709","Оформление заказа через верхнюю кнопку","tests","2025-12-27","passed","2025-12-27","TestOrder","test_order","",""
"Проверка перехода на Дзен по логотипу Яндекса","1722","Проверка перехода на Дзен по логотипу Яндекса","tests","2025-12-27","broken","2025-12-27","TestOrder","test_order","",""
"Проверка раскрытия ответов при клике на вопросы","334","Проверка раздела 'Вопросы о важном'","tests","2025-12-21","passed","2025-12-21","TestFAQ","test_faq","",""
"Проверка раскрытия ответов при клике на вопросы","548","Проверка раздела 'Вопросы о важном'","tests","2025-12-27","passed","2025-12-27","TestFAQ","test_faq","",""
"Проверка полного флоу оформления заказа","1711","Оформление заказа через разные кнопки","tests","2025-12-25","passed","2025-12-25","TestOrder","test_order","",""
"Проверка раскрытия ответов при клике на вопросы","327","Проверка раздела 'Вопросы о важном'","tests","2025-12-21","passed","2025-12-21","TestFAQ","test_faq","",""
"Тест успешного оформления заказа","1691","Проверка успешного оформления заказа","tests","2025-12-27","passed","2025-12-27","TestOrder","test_order","",""
"Тест подтверждения заказа","1696","Подтверждение заказа","tests","2025-12-27","passed","2025-12-27","TestOrder","test_order","",""
"Тест оформления заказа через нижнюю кнопку","7193","Оформление заказа через нижнюю кнопку с разными данными","tests","2025-12-27","failed","2025-12-27","TestOrder","test_order","",""
"Проверка перехода на главную страницу по логотипу Самоката","1680","Проверка перехода на главную по логотипу Самоката","tests","2025-12-27","broken","2025-12-27","TestOrder","test_order","",""
"Проверка раскрытия ответов при клике на вопросы","334","Проверка раздела 'Вопросы о важном'","tests","2025-12-21","passed","2025-12-21","TestFAQ","test_faq","",""
